"Nombre De La Escuela",Turno,Delegación,Colonia,Sostenimiento,Modalidad,"Total De Alumnos","Alumnos Evaluados","Comunicación: Insuficiente","Comunicación: Elemental","Comunicación: Bueno","Comunicación: Excelente","Matemáticas: Insuficiente","Matemáticas: Elemental","Matemáticas: Bueno","Matemáticas: Excelente"
"CECYT 14 LUIS ENRIQUE ERRO",VESPERTINO,"VENUSTIANO CARRANZA",MICHOACANA,PUBLICO,"BACHILLERATO TECNOLOGICO",310,163,"  1.9"," 27.9"," 64.9","  5.2","  7.4"," 41.2"," 34.5"," 16.9"
"CET 17 WALTER CROSS BUCHANAN",MATUTINO,"GUSTAVO A. MADERO","SAN JUAN DE ARAGON",PUBLICO,"BACHILLERATO TECNOLOGICO",518,359," 10.3"," 24.8"," 60.1","  4.8","  5.4"," 28.4"," 27.8"," 38.4"
"COLEGIO VISTA HERMOSA",MATUTINO,"CUAJIMALPA DE MORELOS","LOMAS DE VISTA HERMOSA",PRIVADO,"BACHILLERATO GENERAL",150,150,"  2.7"," 14.1"," 59.1"," 24.2","  1.4"," 21.6"," 34.5"," 42.6"
"TECNOLOGICO DE MONTERREY, CAMPUS CIUDAD DE MEXICO",MATUTINO,TLALPAN,"EJIDOS DE HUIPULCO",PRIVADO,"BACHILLERATO GENERAL",616,609,"  0.2","  1.5"," 44.2"," 54.1","  0.2","  1.8"," 17.3"," 80.8"
"CLAUDINA THEVENET",MATUTINO,"ALVARO OBREGON",COVE,PRIVADO,"BACHILLERATO GENERAL",33,31,"  0.0"," 36.7"," 53.3"," 10.0"," 13.3"," 56.7"," 23.3","  6.7"
"ITESM CAMPUS SANTA FE",MATUTINO,"ALVARO OBREGON","ALVARO OBREGON",PRIVADO,"BACHILLERATO GENERAL",289,284,"  2.8"," 15.5"," 54.1"," 27.6","  1.4","  8.5"," 37.0"," 53.2"
"CETIS 033",MATUTINO,AZCAPOTZALCO,"PRADOS DEL ROSARIO",PUBLICO,"BACHILLERATO TECNOLOGICO",421,380," 12.6"," 39.8"," 46.0","  1.6"," 20.0"," 48.3"," 28.3","  3.5"
PREPARATE,MATUTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PUBLICO,"BACHILLERATO GENERAL",16,9," 22.2"," 22.2"," 55.6","  0.0"," 33.3"," 33.3"," 33.3","  0.0"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM.031",MATUTINO,IZTACALCO,IZTACALCO,PUBLICO,"BACHILLERATO TECNOLOGICO",505,241,"  6.7"," 35.0"," 55.4","  2.9","  7.9"," 35.8"," 37.5"," 18.8"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM.031",VESPERTINO,IZTACALCO,IZTACALCO,PUBLICO,"BACHILLERATO TECNOLOGICO",427,280," 13.6"," 43.6"," 41.4","  1.5"," 23.1"," 48.0"," 24.9","  4.0"
"BACHILLERATO DE LA UNIVERSIDAD DE LA REPUBLICA MEXICANA",MATUTINO,IZTAPALAPA,"EL VERGEL",PRIVADO,"BACHILLERATO GENERAL",248,193," 47.1"," 39.2"," 13.2","  0.5"," 48.1"," 35.8"," 13.4","  2.7"
"UNIVERSIDAD ANAHUAC, BACHILLERATO CEYCA",MATUTINO,TLALPAN,"SAN PEDRO MARTIR",PRIVADO,"BACHILLERATO GENERAL",143,56,"  5.4"," 12.5"," 69.6"," 12.5","  7.1"," 26.8"," 25.0"," 41.1"
"UNIVERSIDAD ANAHUAC, BACHILLERATO CEYCA",VESPERTINO,TLALPAN,"SAN PEDRO MARTIR",PRIVADO,"BACHILLERATO GENERAL",25,24,"  0.0"," 16.7"," 50.0"," 33.3"," 25.0"," 20.8"," 41.7"," 12.5"
"UNIVERSIDAD TECNOLOGICA DE MEXICO",MATUTINO,IZTAPALAPA,"GRANJAS ESMERALDA",PRIVADO,"BACHILLERATO GENERAL",438,135," 17.3"," 34.6"," 44.4","  3.8"," 27.8"," 31.6"," 28.6"," 12.0"
"UNIVERSIDAD LATINA",MATUTINO,CUAUHTEMOC,"ROMA NORTE",PRIVADO,"BACHILLERATO GENERAL",74,70," 32.8"," 48.4"," 17.2","  1.6"," 43.3"," 38.8"," 14.9","  3.0"
