"Nombre De La Escuela",Turno,Delegación,Colonia,Sostenimiento,Modalidad,"Total De Alumnos","Alumnos Evaluados","Comunicación: Insuficiente","Comunicación: Elemental","Comunicación: Bueno","Comunicación: Excelente","Matemáticas: Insuficiente","Matemáticas: Elemental","Matemáticas: Bueno","Matemáticas: Excelente"
"ESCUELA DE ENFERMERIA DE CRUZ ROJA MEXICANA, SEDE CENTRAL",MATUTINO,"MIGUEL HIDALGO","CHAPULTEPEC MORALES",PRIVADO,"TECNICO PROFESIONAL",12,12,"  0.0"," 33.3"," 41.7"," 25.0"," 33.3"," 25.0"," 25.0"," 16.7"
"ESCUELA DE ENFERMERIA ESCANDON",MATUTINO,"MIGUEL HIDALGO",TACUBAYA,PRIVADO,"TECNICO PROFESIONAL",28,27,"  0.0"," 51.9"," 44.4","  3.7"," 44.4"," 48.1","  7.4","  0.0"
"INSTITUTO BONAMPAK",MATUTINO,TLALPAN,TLALPAN,PRIVADO,"BACHILLERATO TECNOLOGICO",56,50," 17.5"," 12.5"," 52.5"," 17.5"," 12.5"," 47.9"," 20.8"," 18.8"
"ACADEMIA DE LA DANZA MEXICANA",MATUTINO,COYOACAN,CHURUBUSCO,PUBLICO,"BACHILLERATO GENERAL",12,11,"  9.1","  9.1"," 63.6"," 18.2","  0.0"," 63.6"," 27.3","  9.1"
"ESCUELA NACIONAL DE DANZA CLASICA",VESPERTINO,COYOACAN,"COUNTRY CLUB CHURUBUSCO",PUBLICO,"BACHILLERATO GENERAL",9,9,"  0.0"," 33.3"," 66.7","  0.0"," 22.2"," 55.6"," 11.1"," 11.1"
"ESCUELA NACIONAL DE DANZA CONTEMPORANEA",VESPERTINO,COYOACAN,"COUNTRY CLUB CHURUBUSCO",PUBLICO,"BACHILLERATO GENERAL",7,7,"  0.0"," 14.3"," 71.4"," 14.3","  0.0"," 16.7"," 83.3","  0.0"
"CEDART ""DIEGO RIVERA""",MATUTINO,COYOACAN,"CAMPESTRE CHURUBUSCO",PUBLICO,"BACHILLERATO GENERAL",37,36,"  0.0","  3.8"," 65.4"," 30.8","  8.8"," 47.1"," 29.4"," 14.7"
"LUIS SPOTA SAAVEDRA",MATUTINO,CUAUHTEMOC,JUAREZ,PUBLICO,"BACHILLERATO GENERAL",63,59,"  3.8","  3.8"," 66.0"," 26.4","  7.3"," 50.9"," 27.3"," 14.5"
"CENTRO DE EDUCACION ARTISTICA FRIDA KAHLO",MATUTINO,CUAUHTEMOC,TABACALERA,PUBLICO,"BACHILLERATO GENERAL",91,69,"  5.8"," 13.5"," 55.8"," 25.0"," 16.7"," 35.0"," 28.3"," 20.0"
"CECYT 5 BENITO JUAREZ",MATUTINO,IZTAPALAPA,"SANTA MARIA AZTAHUACAN",PUBLICO,"BACHILLERATO TECNOLOGICO",445,348,"  2.3"," 15.7"," 69.2"," 12.8","  1.7"," 18.7"," 36.5"," 43.1"
"CECYT 6 MIGUEL OTHON DE MENDIZABAL",VESPERTINO,AZCAPOTZALCO,"JARDIN AZPEITIA",PUBLICO,"BACHILLERATO TECNOLOGICO",484,362,"  0.0"," 11.8"," 69.1"," 19.1","  1.7"," 15.5"," 43.7"," 39.2"
"CECYT 7 CUAUHTEMOC",VESPERTINO,"GUSTAVO A. MADERO","SAN JUAN DE ARAGON",PUBLICO,"BACHILLERATO TECNOLOGICO",573,341,"  5.4"," 26.8"," 63.6","  4.2","  3.8"," 22.0"," 41.5"," 32.7"
